system:index,B11_median,B12_median,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,B8A_median,B8_median,B9_median,cloud_cover,clouds_count,date,lat,lon,product_id,sensor,shadows_count,site_no,solar_az,solar_zen,water_median,.geo
20160614T034542_20160614T034537_T51WWQ_2,160.0,125.0,1112.0,351,829.0000000000001,605.0,543.0,537.0,429.99999999999994,417.0,335.00000000000006,372.99999999999994,128.0,0.0,351,2016-06-14,66.76905,123.39458,S2A_MSIL1C_20160614T034542_N0500_R104_T51WWQ_20231001T091812,Sentinel-2A,351,Lena,181.96787795803,43.8527878351889,0.5812619090080261,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160614T070622_20160614T070700_T41WPP_0,61.999999999999986,34.0,1324.0,350,943.0000000000002,656.0,491.99999999999994,456.99999999999994,367.0,346.0,272.0,282.0,85.00000000000001,5.7159,350,2016-06-14,66.63000000000001,66.6,S2A_MSIL1C_20160614T070622_N0202_R106_T41WPP_20160614T070700,Sentinel-2A,350,Ob,172.098011349,43.0695546414,0.8270571827888489,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160614T070622_20160614T070700_T41WPQ_0,61.999999999999986,33.99999999999999,1322.0,350,942.9999999999998,657.0,492.0,456.99999999999994,368.0,344.99999999999994,271.99999999999994,283.0,83.0,0.0,350,2016-06-14,66.63000000000001,66.6,S2A_MSIL1C_20160614T070622_N0500_R106_T41WPQ_20231022T063412,Sentinel-2A,350,Ob,172.315272315562,43.9528620518618,0.8277778029441833,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160614T070700_20160614T105155_T41WPP_0,61.999999999999986,34.0,1324.0,350,943.0000000000002,656.0,491.99999999999994,456.99999999999994,367.0,346.0,272.0,282.0,85.00000000000001,5.7159,350,2016-06-14,66.63000000000001,66.6,S2A_OPER_PRD_MSIL1C_PDMC_20160614T145602_R106_V20160614T070700_20160614T070700,Sentinel-2A,350,Ob,172.098011349105,43.0695546413573,0.8270571827888489,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160614T070700_20160614T105155_T41WPQ_0,61.999999999999986,34.0,1324.0,350,943.0000000000002,656.0,491.99999999999994,456.99999999999994,367.0,346.0,272.0,282.0,85.00000000000001,0.0,350,2016-06-14,66.63000000000001,66.6,S2A_OPER_PRD_MSIL1C_PDMC_20160614T145602_R106_V20160614T070700_20160614T070700,Sentinel-2A,350,Ob,172.314202236937,43.9527822398846,0.8270571827888489,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160616T060632_20160616T060634_T44WPC_1,62.00000000000001,38.0,1217.0,346,844.0,550.0,397.0,361.00000000000006,289.00000000000006,264.0,208.0,224.00000000000003,104.00000000000001,0.0,346,2016-06-16,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160616T060632_N0500_R134_T44WPC_20231007T183340,Sentinel-2A,346,Yenisey,176.496242605238,46.4393898208229,0.7980391144752502,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160616T060632_20160616T060634_T45WVS_1,62.00000000000001,38.0,1215.0,353,844.9999999999999,550.0,398.00000000000006,361.99999999999994,289.0,264.0,206.0,224.0,102.0,22.5238,353,2016-06-16,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160616T060632_N0204_R134_T45WVS_20160616T060634,Sentinel-2A,353,Yenisey,177.611288487,45.5695858722,0.7965763180853258,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160616T060632_20160616T060634_T45WVT_1,62.00000000000001,38.0,1217.0,353,845.0,550.0,398.0,361.00000000000006,289.0,264.0,207.9999999999999,223.99999999999997,104.00000000000001,0.0,353,2016-06-16,69.37340000000002,86.12130000000002,S2A_MSIL1C_20160616T060632_N0500_R134_T45WVT_20231007T183340,Sentinel-2A,353,Yenisey,177.514827269542,46.4667348963124,0.7974943526481327,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160616T060634_20160616T094727_T44WPC_1,62.0,37.99999999999999,1214.9999999999995,346,845.0,550.0,398.0,362.0,289.0,265.0,205.99999999999997,224.00000000000003,100.00000000000001,0.0,346,2016-06-16,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160617T121321_R134_V20160616T060634_20160616T060634,Sentinel-2A,346,Yenisey,176.495195642898,46.4392708571306,0.7965913035753946,"{""type"":""MultiPoint"",""coordinates"":[]}"
20160616T060634_20160616T094727_T45WVS_1,62.00000000000001,38.0,1215.0,353,844.9999999999999,550.0,398.00000000000006,361.99999999999994,289.0,264.0,206.0,224.0,102.0,22.5238,353,2016-06-16,69.37340000000002,86.12130000000002,S2A_OPER_PRD_MSIL1C_PDMC_20160617T121321_R134_V20160616T060634_20160616T060634,Sentinel-2A,353,Yenisey,177.611288487225,45.569585872186,0.7965763180853258,"{""type"":""MultiPoint"",""coordinates"":[]}"
