system:index,latitude,longitude,site_no,snow_depth,temperature_2m_max,total_precipitation_sum,.geo
19500206_0,76.111,102.531,taymyr_peninsula,0.6558430989583334,241.58424377441406,2.0303726195791683E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500207_0,76.111,102.531,taymyr_peninsula,0.6552734375,241.7695770263672,5.591213692923702E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500208_0,76.111,102.531,taymyr_peninsula,0.6529134114583334,241.43658447265625,2.0638738362777076E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500209_0,76.111,102.531,taymyr_peninsula,0.6521402994791666,240.82232666015625,9.032752092252849E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500210_0,76.111,102.531,taymyr_peninsula,0.6546630859375,242.85763549804688,3.288702868076143E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500211_0,76.111,102.531,taymyr_peninsula,0.6606852213541666,243.36386108398438,6.235778331706854E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500212_0,76.111,102.531,taymyr_peninsula,0.6661376953125,242.83961486816406,2.707839012145996E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500213_0,76.111,102.531,taymyr_peninsula,0.6656901041666666,239.66018676757812,5.9002637669891556E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500214_0,76.111,102.531,taymyr_peninsula,0.6637369791666666,238.89967346191406,5.146861042248929E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500215_0,76.111,102.531,taymyr_peninsula,0.6614583333333334,239.09036254882812,4.509091372284502E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500216_0,76.111,102.531,taymyr_peninsula,0.6593424479166666,236.79989624023438,1.0192393347097095E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500217_0,76.111,102.531,taymyr_peninsula,0.6578369140625,232.51612854003906,2.9636772183039284E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500218_0,76.111,102.531,taymyr_peninsula,0.6568196614583334,232.68455505371094,2.2435188288483232E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500219_0,76.111,102.531,taymyr_peninsula,0.6562093098958334,233.51303100585938,1.6897916793823242E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500220_0,76.111,102.531,taymyr_peninsula,0.6552734375,232.75155639648438,9.07782464310003E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500221_0,76.111,102.531,taymyr_peninsula,0.6543375651041666,235.3234405517578,1.336672022489438E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500222_0,76.111,102.531,taymyr_peninsula,0.6535237630208334,233.64645385742188,1.237164454437334E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500223_0,76.111,102.531,taymyr_peninsula,0.6588541666666666,233.7849578857422,3.460134394117631E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500224_0,76.111,102.531,taymyr_peninsula,0.66064453125,233.86178588867188,7.38233326842419E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500225_0,76.111,102.531,taymyr_peninsula,0.66015625,234.73777770996094,4.363059997558594E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500226_0,76.111,102.531,taymyr_peninsula,0.6598307291666666,233.26345825195312,1.7985105514384259E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500227_0,76.111,102.531,taymyr_peninsula,0.6622721354166666,238.1874237060547,1.319795846939087E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500228_0,76.111,102.531,taymyr_peninsula,0.6664632161458334,240.87258911132812,3.1309927533129667E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500301_0,76.111,102.531,taymyr_peninsula,0.6663818359375,234.87417602539062,1.7663763799191656E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500302_0,76.111,102.531,taymyr_peninsula,0.6648356119791666,235.3672637939453,8.870554609075043E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500303_0,76.111,102.531,taymyr_peninsula,0.6637776692708334,232.68067932128906,8.576854384045873E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500304_0,76.111,102.531,taymyr_peninsula,0.6629231770833334,231.09324645996094,4.10079951507214E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500305_0,76.111,102.531,taymyr_peninsula,0.6619873046875,230.4364471435547,5.091501666498743E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500306_0,76.111,102.531,taymyr_peninsula,0.660888671875,232.97999572753906,8.666515345367998E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500307_0,76.111,102.531,taymyr_peninsula,0.6598307291666666,236.9603271484375,1.2341141598426475E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500308_0,76.111,102.531,taymyr_peninsula,0.6612141927083334,240.192626953125,2.809345721175305E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500309_0,76.111,102.531,taymyr_peninsula,0.6612548828125,240.3673095703125,1.9818544387817383E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500310_0,76.111,102.531,taymyr_peninsula,0.6591796875,240.13455200195312,6.496906280517578E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500311_0,76.111,102.531,taymyr_peninsula,0.6568603515625,245.3035430908203,1.2606382320257126E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500312_0,76.111,102.531,taymyr_peninsula,0.6547444661458334,244.73272705078125,1.6350150099242455E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500313_0,76.111,102.531,taymyr_peninsula,0.654052734375,248.37875366210938,1.9398330550757237E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500314_0,76.111,102.531,taymyr_peninsula,0.6519775390625,246.96051025390625,1.745104795141117E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500315_0,76.111,102.531,taymyr_peninsula,0.6495361328125,248.75094604492188,1.449681292342575E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500316_0,76.111,102.531,taymyr_peninsula,0.6456298828125,248.15736389160156,7.492303848266602E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500317_0,76.111,102.531,taymyr_peninsula,0.6473795572916666,259.3109436035156,9.889781474043957E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500318_0,76.111,102.531,taymyr_peninsula,0.652587890625,263.25537109375,0.001874235271316138,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500319_0,76.111,102.531,taymyr_peninsula,0.6511637369791666,257.7585144042969,7.150262594208812E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500320_0,76.111,102.531,taymyr_peninsula,0.6530354817708334,257.6785583496094,0.0012528628109862439,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500321_0,76.111,102.531,taymyr_peninsula,0.6499430338541666,256.5938262939453,9.563532671563735E-6,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500322_0,76.111,102.531,taymyr_peninsula,0.6438395182291666,253.98255920410156,2.2490322589874268E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500323_0,76.111,102.531,taymyr_peninsula,0.6426188151041666,257.04364013671875,2.0886134456077343E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500324_0,76.111,102.531,taymyr_peninsula,0.6392415364583334,252.54461669921875,4.093050955589206E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500325_0,76.111,102.531,taymyr_peninsula,0.6397298177083334,253.11697387695312,3.044247627208563E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500326_0,76.111,102.531,taymyr_peninsula,0.6374918619791666,251.5023193359375,5.978993829103274E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500327_0,76.111,102.531,taymyr_peninsula,0.6343587239583334,246.7637481689453,1.632457531286491E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500328_0,76.111,102.531,taymyr_peninsula,0.6317138671875,246.55404663085938,1.099971854046089E-5,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500329_0,76.111,102.531,taymyr_peninsula,0.6482747395833334,258.7527160644531,0.003200290888571544,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500330_0,76.111,102.531,taymyr_peninsula,0.69189453125,262.6877746582031,0.002203265117259434,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500331_0,76.111,102.531,taymyr_peninsula,0.6892903645833334,253.63938903808594,1.956284045263601E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500401_0,76.111,102.531,taymyr_peninsula,0.6984049479166666,259.5806121826172,0.002405798435120232,"{""type"":""MultiPoint"",""coordinates"":[]}"
19500402_0,76.111,102.531,taymyr_peninsula,0.7051188151041666,262.2944641113281,9.240210038115038E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
