"project","river","date","ID","parameter","flag","unit","value","depth"
"ArcticGRO II","Lena","2013-11-16","Kit 10","POC-14C","AV","per mil","-380.4","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","POC-fm","AV","NA","0.6243","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","Rb","AV","ug/L","0.67","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","SiO2","AV","mg/L","7.3","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","SO4","AV","mg/L as S","7.5","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","Sr","AV","ug/L","236","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","TDN","AV","mg/L","0.27","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","TSS","AV","mg/L","1.7","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","U","AV","ug/L","0.56","0"
"ArcticGRO II","Lena","2013-11-16","Kit 10","UTHg","AV","ng/l","3.6","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","A254","AV","A","0.239","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","A375","AV","A","0.042","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","A412","AV","A","0.024","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","A420","AV","A","0.022","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","A440","AV","A","0.017","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Alkalinity","AV","mg CaCO3/L","78.9","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","As","AV","ug/L","0.72","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Ba","AV","ug/L","29","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Ca","AV","mg/L","32","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Cl","AV","mg/L","53.8","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Discharge","PV","m3/sec","3910","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","DOC","AV","mg/L","9.1","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","H2O-18O","AV","per mil","-20.7","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","H2O-2H","AV","per mil","-154","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","K","AV","mg/L","0.88","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Li","AV","ug/L","3.61","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Mg","AV","mg/L","9.68","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Na","AV","mg/L","38.01","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","NH4","AV","ug/L as N","22","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","NO3","AV","ug/L as N","182","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","PN","AV","ug/L","14","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","PN-15N","AV","per mil","5.4","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","POC","AV","mg/L","0.14","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","POC-13C","AV","per mil","-33.1","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","POC-14C","AV","per mil","-351.4","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","POC-fm","AV","NA","0.6537","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Rb","AV","ug/L","0.76","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","SiO2","AV","mg/L","7.3","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","SO4","AV","mg/L as S","10.3","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","Sr","AV","ug/L","309","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","TDN","AV","mg/L","0.46","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","TSS","AV","mg/L","2","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","U","AV","ug/L","0.48","0"
"ArcticGRO II","Lena","2014-02-15","Kit 11","UTHg","AV","ng/l","2.57","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","A254","AV","A","0.168","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","A375","AV","A","0.028","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","A412","AV","A","0.016","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","A420","AV","A","0.014","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","A440","AV","A","0.01","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Alkalinity","AV","mg CaCO3/L","66.9","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","As","AV","ug/L","0.99","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Ba","AV","ug/L","36","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Ca","AV","mg/L","37.5","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Cl","AV","mg/L","75.2","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Conductivity","AV","uS/cm","459","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Discharge","PV","m3/sec","2450","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","DOC","AV","mg/L","6.6","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","H2O-18O","AV","per mil","-20.7","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","H2O-2H","AV","per mil","-152","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","K","AV","mg/L","0.93","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Li","AV","ug/L","4.36","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Mg","AV","mg/L","10.83","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Na","AV","mg/L","51.59","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","NH4","AV","ug/L as N","31","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","NO3","AV","ug/L as N","214","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","PN","AV","ug/L","18","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","PN-15N","AV","per mil","4.7","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","POC","AV","mg/L","0.23","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","POC-13C","AV","per mil","-31.3","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","POC-14C","AV","per mil","-363","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","POC-fm","AV","NA","0.642","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Rb","AV","ug/L","0.8","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","SiO2","AV","mg/L","6.7","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","SO4","AV","mg/L as S","12.7","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Sr","AV","ug/L","373","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","TDN","AV","mg/L","0.45","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","Temperature","AV","deg C","-0.1","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","TSS","AV","mg/L","3.4","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","U","AV","ug/L","0.58","0"
"ArcticGRO II","Lena","2014-04-11","Kit 12","UTHg","AV","ng/l","2.172","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","A254","AV","A","0.655","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","A375","AV","A","0.124","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","A412","AV","A","0.07","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","A420","AV","A","0.062","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","A440","AV","A","0.046","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Alkalinity","AV","mg CaCO3/L","36.1","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","As","AV","ug/L","0.52","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Ba","AV","ug/L","16","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Ca","AV","mg/L","15.3","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Cl","AV","mg/L","7.6","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Conductivity","AV","uS/cm","103","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Discharge","PV","m3/sec","77700","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","DOC","AV","mg/L","23.5","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","H2O-18O","AV","per mil","-23.8","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","H2O-2H","AV","per mil","-177","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","K","AV","mg/L","1.16","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Li","AV","ug/L","2.71","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Mg","AV","mg/L","4.23","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Na","AV","mg/L","5.76","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","NH4","AV","ug/L as N","12","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","NO3","AV","ug/L as N","7","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","PN","AV","ug/L","92","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","PN-15N","AV","per mil","3.2","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","POC","AV","mg/L","0.86","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","POC-13C","AV","per mil","-28.9","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","POC-14C","AV","per mil","-204.2","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","POC-fm","AV","NA","0.802","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Rb","AV","ug/L","0.83","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","SiO2","AV","mg/L","3.3","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","SO4","AV","mg/L as S","1.9","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Sr","AV","ug/L","108","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","TDN","AV","mg/L","0.58","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","Temperature","AV","deg C","11.7","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","TSS","AV","mg/L","29.9","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","U","AV","ug/L","0.16","0"
"ArcticGRO II","Lena","2014-06-04","Kit 13","UTHg","AV","ng/l","13.184","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","A254","AV","A","0.166","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","A375","AV","A","0.03","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","A412","AV","A","0.017","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","A420","AV","A","0.015","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","A440","AV","A","0.012","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Alkalinity","AV","mg CaCO3/L","36.1","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","As","AV","ug/L","0.1","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Ba","AV","ug/L","14","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Ca","AV","mg/L","16","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Cl","AV","mg/L","1.7","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Conductivity","AV","uS/cm","275","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Discharge","PV","m3/sec","27500","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","DOC","AV","mg/L","6","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","H2O-18O","AV","per mil","-18.7","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","H2O-2H","AV","per mil","-139","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","K","AV","mg/L","0.48","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Li","AV","ug/L","1.75","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Mg","AV","mg/L","3.77","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Na","AV","mg/L","2.53","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","NH4","AV","ug/L as N","32","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","NO3","AV","ug/L as N","55","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","PN","AV","ug/L","75","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","PN-15N","AV","per mil","3.4","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","POC","AV","mg/L","0.68","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","POC-13C","AV","per mil","-28.9","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","POC-14C","AV","per mil","-338.8","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","POC-fm","AV","NA","0.6663","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Rb","AV","ug/L","0.28","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","SiO2","AV","mg/L","4.7","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","SO4","AV","mg/L as S","6","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Sr","AV","ug/L","141","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","TDN","AV","mg/L","0.2","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","Temperature","AV","deg C","16.4","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","TSS","AV","mg/L","14.9","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","U","AV","ug/L","0.07","0"
"ArcticGRO II","Lena","2014-08-27","Kit 14","UTHg","AV","ng/l","9.254","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","A254","AV","A","0.128","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","A375","AV","A","0.018","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","A412","AV","A","0.01","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","A420","AV","A","0.009","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","A440","AV","A","0.006","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Alkalinity","AV","mg CaCO3/L","61.7","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","As","AV","ug/L","0.19","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Ba","AV","ug/L","19","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Ca","AV","mg/L","23","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Cl","AV","mg/L","22.5","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Discharge","PV","m3/sec","4760","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","DOC","AV","mg/L","5.9","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","H2O-18O","AV","per mil","-18.8","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","H2O-2H","AV","per mil","-140","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","K","AV","mg/L","0.63","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Li","AV","ug/L","1.42","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Mg","AV","mg/L","6.22","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Na","AV","mg/L","16","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","NH4","AV","ug/L as N","13","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","NO3","AV","ug/L as N","60","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","PN","AV","ug/L","19","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","PN-15N","AV","per mil","1.6","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","POC","AV","mg/L","0.15","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","POC-13C","AV","per mil","-30.7","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","POC-14C","AV","per mil","-442.8","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","POC-fm","AV","NA","0.5615","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Rb","AV","ug/L","0.57","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","SiO2","AV","mg/L","6.3","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","SO4","AV","mg/L as S","6.1","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","Sr","AV","ug/L","174","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","TDN","AV","mg/L","0.33","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","TSS","AV","mg/L","0.7","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","U","AV","ug/L","0.58","0"
"ArcticGRO II","Lena","2014-10-30","Kit 15","UTHg","AV","ng/l","1.686","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","A254","AV","A","0.142","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","A375","AV","A","0.021","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","A412","AV","A","0.012","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","A420","AV","A","0.011","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","A440","AV","A","0.008","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Alkalinity","AV","mg CaCO3/L","78.9","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","As","AV","ug/L","0.2","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Ba","AV","ug/L","27","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Ca","AV","mg/L","30.2","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Cl","AV","mg/L","32.3","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Discharge","PV","m3/sec","3120","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","DOC","AV","mg/L","4.3","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","H2O-18O","AV","per mil","-19.7","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","H2O-2H","AV","per mil","-148","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","K","AV","mg/L","0.72","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Li","AV","ug/L","2.03","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Mg","AV","mg/L","8.4","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Na","AV","mg/L","23.4","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","NH4","AV","ug/L as N","15","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","NO3","AV","ug/L as N","88","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","PN","AV","ug/L","9","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","PN-15N","AV","per mil","0","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","POC","AV","mg/L","0.09","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","POC-13C","AV","per mil","-29.8","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","POC-14C","AV","per mil","-597.8","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","POC-fm","AV","NA","0.4053","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Rb","AV","ug/L","0.72","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","SiO2","AV","mg/L","6.8","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","SO4","AV","mg/L as S","8","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","Sr","AV","ug/L","237","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","TDN","AV","mg/L","0.19","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","TSS","AV","mg/L","1","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","U","AV","ug/L","0.66","0"
"ArcticGRO II","Lena","2014-12-02","Kit 16","UTHg","AV","ng/l","2.232","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","A254","AV","A","0.312","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","A375","AV","A","0.05","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","A412","AV","A","0.027","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","A420","AV","A","0.024","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","A440","AV","A","0.018","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Alkalinity","AV","mg CaCO3/L","67.9","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","As","AV","ug/L","0.24","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Ba","AV","ug/L","23","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Ca","AV","mg/L","25.9","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Cl","AV","mg/L","32.8","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Discharge","PV","m3/sec","3797","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","DOC","AV","mg/L","8.7","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","H2O-18O","AV","per mil","-21.1","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","H2O-2H","AV","per mil","-162","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","K","AV","mg/L","0.73","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Li","AV","ug/L","2.4","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Mg","AV","mg/L","7.52","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Na","AV","mg/L","23.7","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","NH4","AV","ug/L as N","20","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","NO3","AV","ug/L as N","126","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","PN","AV","ug/L","14","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","PN-15N","AV","per mil","4.4","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","POC","AV","mg/L","0.12","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","POC-13C","AV","per mil","-32.9","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","POC-14C","AV","per mil","-372.2","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","POC-fm","AV","NA","0.6328","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Rb","AV","ug/L","0.65","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","SiO2","AV","mg/L","6.8","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","SO4","AV","mg/L as S","7.2","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","Sr","AV","ug/L","217","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","TDN","AV","mg/L","0.34","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","TSS","AV","mg/L","2","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","U","AV","ug/L","0.53","0"
"ArcticGRO II","Lena","2015-01-06","Kit 17","UTHg","AV","ng/l","2.379","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","A254","AV","A","0.183","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","A375","AV","A","0.029","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","A412","AV","A","0.018","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","A420","AV","A","0.017","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","A440","AV","A","0.014","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Alkalinity","AV","mg CaCO3/L","87","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","As","AV","ug/L","0.17","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Ba","AV","ug/L","32","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Ca","AV","mg/L","35.3","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Cl","AV","mg/L","63","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Discharge","PV","m3/sec","2076","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","DOC","AV","mg/L","5.2","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","H2O-18O","AV","per mil","-21.5","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","H2O-2H","AV","per mil","-166","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","K","AV","mg/L","0.88","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Li","AV","ug/L","3.52","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Mg","AV","mg/L","10.2","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Na","AV","mg/L","43.6","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","NH4","AV","ug/L as N","13","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","NO3","AV","ug/L as N","189","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","PN","AV","ug/L","11","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","PN-15N","AV","per mil","4.4","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","POC","AV","mg/L","0.09","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","POC-13C","AV","per mil","-34.6","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","POC-14C","AV","per mil","-520.5","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","POC-fm","AV","NA","0.4833","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Rb","AV","ug/L","0.8","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","SiO2","AV","mg/L","6.8","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","SO4","AV","mg/L as S","11.2","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","Sr","AV","ug/L","316","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","TDN","AV","mg/L","0.3","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","TSS","AV","mg/L","0.7","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","U","AV","ug/L","0.65","0"
"ArcticGRO II","Lena","2015-03-25","Kit 18","UTHg","AV","ng/l","2.027","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","A254","AV","A","0.175","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","A375","AV","A","0.03","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","A412","AV","A","0.018","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","A420","AV","A","0.016","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","A440","AV","A","0.012","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Alkalinity","AV","mg CaCO3/L","90.7","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","As","AV","ug/L","0.18","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Ba","AV","ug/L","35","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Ca","AV","mg/L","38.9","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Cl","AV","mg/L","74.4","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Conductivity","AV","uS/cm","465","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Discharge","PV","m3/sec","2661","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","DOC","AV","mg/L","4.8","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","H2O-18O","AV","per mil","-21.5","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","H2O-2H","AV","per mil","-164","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","K","AV","mg/L","0.95","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Li","AV","ug/L","4.03","0"
"ArcticGRO II","Lena","2015-05-02","Kit 19","Mg","AV","mg/L","11.3","0"
