"project","river","date","ID","parameter","flag","unit","value","depth"
"PARTNERS","Kolyma","2004-06-15","","DOC-13C","AV","per mil","-30","0"
"PARTNERS","Kolyma","2004-06-15","","DOC-14C","AV","per mil","-3.9","0"
"PARTNERS","Kolyma","2004-06-15","","H2O-18O","AV","per mil","-23.7","0"
"PARTNERS","Kolyma","2004-06-15","","H2O-2H","AV","per mil","-183","0"
"PARTNERS","Kolyma","2004-06-15","","K","AV","mg/L","0.76","0"
"PARTNERS","Kolyma","2004-06-15","","Li","AV","ug/L","0.34","0"
"PARTNERS","Kolyma","2004-06-15","","Mg","AV","mg/L","1.9","0"
"PARTNERS","Kolyma","2004-06-15","","Na","AV","mg/L","1.1","0"
"PARTNERS","Kolyma","2004-06-15","","NH4","AV","ug/L as N","53","0"
"PARTNERS","Kolyma","2004-06-15","","NO3","AV","ug/L as N","31","0"
"PARTNERS","Kolyma","2004-06-15","","pH","AV","std units","7.4","0"
"PARTNERS","Kolyma","2004-06-15","","PN","AV","ug/L","315","0"
"PARTNERS","Kolyma","2004-06-15","","PN-15N","AV","per mil","3.8","0"
"PARTNERS","Kolyma","2004-06-15","","POC","AV","mg/L","1.08","0"
"PARTNERS","Kolyma","2004-06-15","","POC-13C","AV","per mil","-28.1","0"
"PARTNERS","Kolyma","2004-06-15","","Rb","AV","ug/L","0.24","0"
"PARTNERS","Kolyma","2004-06-15","","SiO2","AV","mg/L","4.1","0"
"PARTNERS","Kolyma","2004-06-15","","SO4","AV","mg/L as S","2","0"
"PARTNERS","Kolyma","2004-06-15","","Sr","AV","ug/L","47","0"
"PARTNERS","Kolyma","2004-06-15","","TDN","AV","mg/L","0.23","0"
"PARTNERS","Kolyma","2004-06-15","","Temperature","AV","deg C","11.8","0"
"PARTNERS","Kolyma","2004-06-15","","TSS","AV","mg/L","82.5","0"
"PARTNERS","Kolyma","2004-06-15","","U","AV","ug/L","0.05","0"
"PARTNERS","Kolyma","2004-06-25","","Alkalinity","AV","mg CaCO3/L","14.7","0"
"PARTNERS","Kolyma","2004-06-25","","As","AV","ug/L","0.46","0"
"PARTNERS","Kolyma","2004-06-25","","Ba","AV","ug/L","8","0"
"PARTNERS","Kolyma","2004-06-25","","Ca","AV","mg/L","9.3","0"
"PARTNERS","Kolyma","2004-06-25","","Cl","AV","mg/L","0.3","0"
"PARTNERS","Kolyma","2004-06-25","","Discharge","AV","m3/sec","12600","0"
"PARTNERS","Kolyma","2004-06-25","","DOC","AV","mg/L","6.4","0"
"PARTNERS","Kolyma","2004-06-25","","DOC-13C","AV","per mil","-27.4","0"
"PARTNERS","Kolyma","2004-06-25","","DOC-14C","AV","per mil","44.8","0"
"PARTNERS","Kolyma","2004-06-25","","H2O-18O","AV","per mil","-22.8","0"
"PARTNERS","Kolyma","2004-06-25","","H2O-2H","AV","per mil","-177","0"
"PARTNERS","Kolyma","2004-06-25","","K","AV","mg/L","0.68","0"
"PARTNERS","Kolyma","2004-06-25","","Li","AV","ug/L","0.37","0"
"PARTNERS","Kolyma","2004-06-25","","Mg","AV","mg/L","1.9","0"
"PARTNERS","Kolyma","2004-06-25","","Na","AV","mg/L","1.3","0"
"PARTNERS","Kolyma","2004-06-25","","NH4","AV","ug/L as N","0","0"
"PARTNERS","Kolyma","2004-06-25","","NO3","AV","ug/L as N","50","0"
"PARTNERS","Kolyma","2004-06-25","","pH","AV","std units","7.2","0"
"PARTNERS","Kolyma","2004-06-25","","PN","AV","ug/L","158","0"
"PARTNERS","Kolyma","2004-06-25","","PN-15N","AV","per mil","4.4","0"
"PARTNERS","Kolyma","2004-06-25","","POC","AV","mg/L","0.71","0"
"PARTNERS","Kolyma","2004-06-25","","POC-13C","AV","per mil","-29.7","0"
"PARTNERS","Kolyma","2004-06-25","","POC-14C","AV","per mil","-375","0"
"PARTNERS","Kolyma","2004-06-25","","POC-fm","AV","NA","0.629","0"
"PARTNERS","Kolyma","2004-06-25","","Rb","AV","ug/L","0.2","0"
"PARTNERS","Kolyma","2004-06-25","","SiO2","AV","mg/L","4.4","0"
"PARTNERS","Kolyma","2004-06-25","","SO4","AV","mg/L as S","2.5","0"
"PARTNERS","Kolyma","2004-06-25","","Sr","AV","ug/L","41","0"
"PARTNERS","Kolyma","2004-06-25","","TDN","AV","mg/L","0.2","0"
"PARTNERS","Kolyma","2004-06-25","","Temperature","AV","deg C","12.3","0"
"PARTNERS","Kolyma","2004-06-25","","TSS","AV","mg/L","68.1","0"
"PARTNERS","Kolyma","2004-06-25","","U","AV","ug/L","0.03","0"
"PARTNERS","Kolyma","2004-07-15","","Alkalinity","AV","mg CaCO3/L","15.9","0"
"PARTNERS","Kolyma","2004-07-15","","As","AV","ug/L","0.64","0"
"PARTNERS","Kolyma","2004-07-15","","Ba","AV","ug/L","8","0"
"PARTNERS","Kolyma","2004-07-15","","Ca","AV","mg/L","10","0"
"PARTNERS","Kolyma","2004-07-15","","Cl","AV","mg/L","0.3","0"
"PARTNERS","Kolyma","2004-07-15","","Discharge","AV","m3/sec","8040","0"
"PARTNERS","Kolyma","2004-07-15","","DOC","AV","mg/L","5.9","0"
"PARTNERS","Kolyma","2004-07-15","","DOC-13C","AV","per mil","-27.4","0"
"PARTNERS","Kolyma","2004-07-15","","DOC-14C","AV","per mil","55.4","0"
"PARTNERS","Kolyma","2004-07-15","","H2O-18O","AV","per mil","-21.7","0"
"PARTNERS","Kolyma","2004-07-15","","H2O-2H","AV","per mil","-169","0"
"PARTNERS","Kolyma","2004-07-15","","K","AV","mg/L","0.57","0"
"PARTNERS","Kolyma","2004-07-15","","Li","AV","ug/L","0.41","0"
"PARTNERS","Kolyma","2004-07-15","","Mg","AV","mg/L","2.1","0"
"PARTNERS","Kolyma","2004-07-15","","Na","AV","mg/L","1.5","0"
"PARTNERS","Kolyma","2004-07-15","","NH4","AV","ug/L as N","34","0"
"PARTNERS","Kolyma","2004-07-15","","NO3","AV","ug/L as N","45","0"
"PARTNERS","Kolyma","2004-07-15","","pH","AV","std units","7.1","0"
"PARTNERS","Kolyma","2004-07-15","","PN","AV","ug/L","127","0"
"PARTNERS","Kolyma","2004-07-15","","PN-15N","AV","per mil","3.8","0"
"PARTNERS","Kolyma","2004-07-15","","POC","AV","mg/L","0.51","0"
"PARTNERS","Kolyma","2004-07-15","","POC-13C","AV","per mil","-29.9","0"
"PARTNERS","Kolyma","2004-07-15","","POC-14C","AV","per mil","-411","0"
"PARTNERS","Kolyma","2004-07-15","","POC-fm","AV","NA","0.593","0"
"PARTNERS","Kolyma","2004-07-15","","Rb","AV","ug/L","0.19","0"
"PARTNERS","Kolyma","2004-07-15","","SiO2","AV","mg/L","5.6","0"
"PARTNERS","Kolyma","2004-07-15","","SO4","AV","mg/L as S","3.2","0"
"PARTNERS","Kolyma","2004-07-15","","Sr","AV","ug/L","46","0"
"PARTNERS","Kolyma","2004-07-15","","TDN","AV","mg/L","0.2","0"
"PARTNERS","Kolyma","2004-07-15","","Temperature","AV","deg C","7.1","0"
"PARTNERS","Kolyma","2004-07-15","","TSS","AV","mg/L","38.6","0"
"PARTNERS","Kolyma","2004-07-15","","U","AV","ug/L","0.03","0"
"PARTNERS","Kolyma","2004-08-10","","Alkalinity","AV","mg CaCO3/L","22.8","0"
"PARTNERS","Kolyma","2004-08-10","","As","AV","ug/L","0.5","0"
"PARTNERS","Kolyma","2004-08-10","","Ba","AV","ug/L","8","0"
"PARTNERS","Kolyma","2004-08-10","","Ca","AV","mg/L","11.6","0"
"PARTNERS","Kolyma","2004-08-10","","Cl","AV","mg/L","0.3","0"
"PARTNERS","Kolyma","2004-08-10","","Discharge","AV","m3/sec","5970","0"
"PARTNERS","Kolyma","2004-08-10","","DOC","AV","mg/L","3.9","0"
"PARTNERS","Kolyma","2004-08-10","","DOC-13C","AV","per mil","-26.7","0"
"PARTNERS","Kolyma","2004-08-10","","DOC-14C","AV","per mil","-5.1","0"
"PARTNERS","Kolyma","2004-08-10","","H2O-18O","AV","per mil","-21.3","0"
"PARTNERS","Kolyma","2004-08-10","","H2O-2H","AV","per mil","-166","0"
"PARTNERS","Kolyma","2004-08-10","","K","AV","mg/L","0.52","0"
"PARTNERS","Kolyma","2004-08-10","","Li","AV","ug/L","0.4","0"
"PARTNERS","Kolyma","2004-08-10","","Mg","AV","mg/L","2.4","0"
"PARTNERS","Kolyma","2004-08-10","","Na","AV","mg/L","1.6","0"
"PARTNERS","Kolyma","2004-08-10","","NH4","AV","ug/L as N","9","0"
"PARTNERS","Kolyma","2004-08-10","","NO3","AV","ug/L as N","42","0"
"PARTNERS","Kolyma","2004-08-10","","pH","AV","std units","7.9","0"
"PARTNERS","Kolyma","2004-08-10","","PN","AV","ug/L","139","0"
"PARTNERS","Kolyma","2004-08-10","","PN-15N","AV","per mil","3.5","0"
"PARTNERS","Kolyma","2004-08-10","","POC","AV","mg/L","0.46","0"
"PARTNERS","Kolyma","2004-08-10","","POC-13C","AV","per mil","-29.7","0"
"PARTNERS","Kolyma","2004-08-10","","POC-14C","AV","per mil","-413","0"
"PARTNERS","Kolyma","2004-08-10","","POC-fm","AV","NA","0.591","0"
"PARTNERS","Kolyma","2004-08-10","","Rb","AV","ug/L","0.19","0"
"PARTNERS","Kolyma","2004-08-10","","SiO2","AV","mg/L","5.8","0"
"PARTNERS","Kolyma","2004-08-10","","SO4","AV","mg/L as S","3.7","0"
"PARTNERS","Kolyma","2004-08-10","","Sr","AV","ug/L","58","0"
"PARTNERS","Kolyma","2004-08-10","","TDN","AV","mg/L","0.16","0"
"PARTNERS","Kolyma","2004-08-10","","Temperature","AV","deg C","12.4","0"
"PARTNERS","Kolyma","2004-08-10","","TSS","AV","mg/L","30.3","0"
"PARTNERS","Kolyma","2004-08-10","","U","AV","ug/L","0.04","0"
"PARTNERS","Kolyma","2004-08-25","","Alkalinity","AV","mg CaCO3/L","23","0"
"PARTNERS","Kolyma","2004-08-25","","As","AV","ug/L","0.52","0"
"PARTNERS","Kolyma","2004-08-25","","Ba","AV","ug/L","8","0"
"PARTNERS","Kolyma","2004-08-25","","Ca","AV","mg/L","11.2","0"
"PARTNERS","Kolyma","2004-08-25","","Cl","AV","mg/L","0.2","0"
"PARTNERS","Kolyma","2004-08-25","","Discharge","AV","m3/sec","7290","0"
"PARTNERS","Kolyma","2004-08-25","","DOC","AV","mg/L","4.4","0"
"PARTNERS","Kolyma","2004-08-25","","DOC-13C","AV","per mil","-27","0"
"PARTNERS","Kolyma","2004-08-25","","DOC-14C","AV","per mil","19.1","0"
"PARTNERS","Kolyma","2004-08-25","","H2O-18O","AV","per mil","-21.2","0"
"PARTNERS","Kolyma","2004-08-25","","H2O-2H","AV","per mil","-165","0"
"PARTNERS","Kolyma","2004-08-25","","K","AV","mg/L","0.51","0"
"PARTNERS","Kolyma","2004-08-25","","Li","AV","ug/L","0.4","0"
"PARTNERS","Kolyma","2004-08-25","","Mg","AV","mg/L","2.3","0"
"PARTNERS","Kolyma","2004-08-25","","Na","AV","mg/L","1.5","0"
"PARTNERS","Kolyma","2004-08-25","","NH4","AV","ug/L as N","0","0"
"PARTNERS","Kolyma","2004-08-25","","NO3","AV","ug/L as N","50","0"
"PARTNERS","Kolyma","2004-08-25","","pH","AV","std units","7.5","0"
"PARTNERS","Kolyma","2004-08-25","","PN","AV","ug/L","158","0"
"PARTNERS","Kolyma","2004-08-25","","PN-15N","AV","per mil","4","0"
"PARTNERS","Kolyma","2004-08-25","","POC","AV","mg/L","0.61","0"
"PARTNERS","Kolyma","2004-08-25","","POC-13C","AV","per mil","-28.8","0"
"PARTNERS","Kolyma","2004-08-25","","POC-14C","AV","per mil","-417","0"
"PARTNERS","Kolyma","2004-08-25","","POC-fm","AV","NA","0.587","0"
"PARTNERS","Kolyma","2004-08-25","","Rb","AV","ug/L","0.2","0"
"PARTNERS","Kolyma","2004-08-25","","SiO2","AV","mg/L","6.1","0"
"PARTNERS","Kolyma","2004-08-25","","SO4","AV","mg/L as S","3.9","0"
"PARTNERS","Kolyma","2004-08-25","","Sr","AV","ug/L","58","0"
"PARTNERS","Kolyma","2004-08-25","","TDN","AV","mg/L","0.17","0"
"PARTNERS","Kolyma","2004-08-25","","Temperature","AV","deg C","12.6","0"
"PARTNERS","Kolyma","2004-08-25","","TSS","AV","mg/L","37.4","0"
"PARTNERS","Kolyma","2004-08-25","","U","AV","ug/L","0.04","0"
"PARTNERS","Kolyma","2004-09-23","","Alkalinity","CAU","mg CaCO3/L","38.6","0"
"PARTNERS","Kolyma","2004-09-23","","As","AV","ug/L","0.4","0"
"PARTNERS","Kolyma","2004-09-23","","Ba","AV","ug/L","9","0"
"PARTNERS","Kolyma","2004-09-23","","Ca","AV","mg/L","14.3","0"
"PARTNERS","Kolyma","2004-09-23","","Cl","AV","mg/L","0.2","0"
"PARTNERS","Kolyma","2004-09-23","","Discharge","AV","m3/sec","6950","0"
"PARTNERS","Kolyma","2004-09-23","","DOC","AV","mg/L","3.9","0"
"PARTNERS","Kolyma","2004-09-23","","DOC-13C","AV","per mil","-27.3","0"
"PARTNERS","Kolyma","2004-09-23","","DOC-14C","AV","per mil","8.5","0"
"PARTNERS","Kolyma","2004-09-23","","H2O-18O","AV","per mil","-20.9","0"
"PARTNERS","Kolyma","2004-09-23","","H2O-2H","AV","per mil","-164","0"
"PARTNERS","Kolyma","2004-09-23","","K","AV","mg/L","0.44","0"
"PARTNERS","Kolyma","2004-09-23","","Li","AV","ug/L","0.4","0"
"PARTNERS","Kolyma","2004-09-23","","Mg","AV","mg/L","3.1","0"
"PARTNERS","Kolyma","2004-09-23","","Na","AV","mg/L","1.7","0"
"PARTNERS","Kolyma","2004-09-23","","NH4","AV","ug/L as N","11","0"
"PARTNERS","Kolyma","2004-09-23","","NO3","AV","ug/L as N","32","0"
"PARTNERS","Kolyma","2004-09-23","","pH","AV","std units","7.8","0"
"PARTNERS","Kolyma","2004-09-23","","PN","AV","ug/L","162","0"
"PARTNERS","Kolyma","2004-09-23","","PN-15N","AV","per mil","4","0"
"PARTNERS","Kolyma","2004-09-23","","POC","AV","mg/L","0.66","0"
"PARTNERS","Kolyma","2004-09-23","","POC-13C","AV","per mil","-29.5","0"
"PARTNERS","Kolyma","2004-09-23","","POC-14C","AV","per mil","-437","0"
"PARTNERS","Kolyma","2004-09-23","","POC-fm","AV","NA","0.567","0"
"PARTNERS","Kolyma","2004-09-23","","Rb","AV","ug/L","0.16","0"
"PARTNERS","Kolyma","2004-09-23","","SiO2","AV","mg/L","6.1","0"
"PARTNERS","Kolyma","2004-09-23","","SO4","AV","mg/L as S","4.6","0"
"PARTNERS","Kolyma","2004-09-23","","Sr","AV","ug/L","71","0"
"PARTNERS","Kolyma","2004-09-23","","TDN","AV","mg/L","0.15","0"
"PARTNERS","Kolyma","2004-09-23","","Temperature","AV","deg C","7","0"
"PARTNERS","Kolyma","2004-09-23","","TSS","AV","mg/L","37.1","0"
"PARTNERS","Kolyma","2004-09-23","","U","AV","ug/L","0.06","0"
"PARTNERS","Kolyma","2005-04-22","","Alkalinity","AV","mg CaCO3/L","25.8","0"
"PARTNERS","Kolyma","2005-04-22","","Ca","AV","mg/L","13.2","0"
"PARTNERS","Kolyma","2005-04-22","","Cl","AV","mg/L","0.5","0"
"PARTNERS","Kolyma","2005-04-22","","Discharge","AV","m3/sec","353","0"
"PARTNERS","Kolyma","2005-04-22","","DOC","AV","mg/L","3.2","0"
"PARTNERS","Kolyma","2005-04-22","","DOC-13C","AV","per mil","-27.2","0"
"PARTNERS","Kolyma","2005-04-22","","DOC-14C","AV","per mil","20.4","0"
"PARTNERS","Kolyma","2005-04-22","","H2O-18O","AV","per mil","-22.7","0"
"PARTNERS","Kolyma","2005-04-22","","H2O-2H","AV","per mil","-171","0"
"PARTNERS","Kolyma","2005-04-22","","K","AV","mg/L","0.56","0"
"PARTNERS","Kolyma","2005-04-22","","Mg","AV","mg/L","3","0"
"PARTNERS","Kolyma","2005-04-22","","Na","AV","mg/L","2.1","0"
"PARTNERS","Kolyma","2005-04-22","","NH4","AV","ug/L as N","0","0"
"PARTNERS","Kolyma","2005-04-22","","NO3","AV","ug/L as N","140","0"
"PARTNERS","Kolyma","2005-04-22","","pH","AV","std units","6","0"
"PARTNERS","Kolyma","2005-04-22","","PN","AV","ug/L","88","0"
"PARTNERS","Kolyma","2005-04-22","","PN-15N","AV","per mil","6.8","0"
"PARTNERS","Kolyma","2005-04-22","","POC","AV","mg/L","0.57","0"
"PARTNERS","Kolyma","2005-04-22","","POC-13C","AV","per mil","-34.6","0"
"PARTNERS","Kolyma","2005-04-22","","POC-14C","AV","per mil","-635","0"
"PARTNERS","Kolyma","2005-04-22","","POC-fm","AV","NA","0.367","0"
"PARTNERS","Kolyma","2005-04-22","","SiO2","AV","mg/L","8","0"
"PARTNERS","Kolyma","2005-04-22","","SO4","AV","mg/L as S","5.8","0"
"PARTNERS","Kolyma","2005-04-22","","TDN","AV","mg/L","0.18","0"
"PARTNERS","Kolyma","2005-04-22","","Temperature","AV","deg C","0.1","0"
"PARTNERS","Kolyma","2005-06-30","","Alkalinity","AV","mg CaCO3/L","22","0"
"PARTNERS","Kolyma","2005-06-30","","Ca","AV","mg/L","12.3","0"
"PARTNERS","Kolyma","2005-06-30","","Cl","AV","mg/L","0.3","0"
"PARTNERS","Kolyma","2005-06-30","","Discharge","AV","m3/sec","7510","0"
"PARTNERS","Kolyma","2005-06-30","","DOC","AV","mg/L","5.7","0"
"PARTNERS","Kolyma","2005-06-30","","DOC-13C","AV","per mil","-26.1","0"
"PARTNERS","Kolyma","2005-06-30","","DOC-14C","AV","per mil","-12.7","0"
"PARTNERS","Kolyma","2005-06-30","","H2O-18O","AV","per mil","-21.9","0"
"PARTNERS","Kolyma","2005-06-30","","H2O-2H","AV","per mil","-167","0"
"PARTNERS","Kolyma","2005-06-30","","K","AV","mg/L","0.56","0"
"PARTNERS","Kolyma","2005-06-30","","Mg","AV","mg/L","2.5","0"
"PARTNERS","Kolyma","2005-06-30","","Na","AV","mg/L","1.6","0"
"PARTNERS","Kolyma","2005-06-30","","NH4","AV","ug/L as N","11","0"
"PARTNERS","Kolyma","2005-06-30","","NO3","AV","ug/L as N","31","0"
"PARTNERS","Kolyma","2005-06-30","","pH","AV","std units","7.4","0"
"PARTNERS","Kolyma","2005-06-30","","PN","AV","ug/L","141","0"
"PARTNERS","Kolyma","2005-06-30","","PN-15N","AV","per mil","5","0"
"PARTNERS","Kolyma","2005-06-30","","POC","AV","mg/L","0.63","0"
"PARTNERS","Kolyma","2005-06-30","","POC-13C","AV","per mil","-30.5","0"
"PARTNERS","Kolyma","2005-06-30","","POC-14C","AV","per mil","-397","0"
"PARTNERS","Kolyma","2005-06-30","","POC-fm","AV","NA","0.607","0"
"PARTNERS","Kolyma","2005-06-30","","SiO2","AV","mg/L","5.5","0"
"PARTNERS","Kolyma","2005-06-30","","SO4","AV","mg/L as S","3.2","0"
"PARTNERS","Kolyma","2005-06-30","","TDN","AV","mg/L","0.25","0"
"PARTNERS","Kolyma","2005-06-30","","Temperature","AV","deg C","14.5","0"
"PARTNERS","Kolyma","2005-06-30","","TSS","AV","mg/L","37.5","0"
"PARTNERS","Kolyma","2005-07-19","","Alkalinity","AV","mg CaCO3/L","27.1","0"
"PARTNERS","Kolyma","2005-07-19","","Ca","AV","mg/L","11.2","0"
"PARTNERS","Kolyma","2005-07-19","","Cl","AV","mg/L","0.2","0"
"PARTNERS","Kolyma","2005-07-19","","Discharge","AV","m3/sec","4890","0"
"PARTNERS","Kolyma","2005-07-19","","DOC","AV","mg/L","4.4","0"
"PARTNERS","Kolyma","2005-07-19","","DOC-13C","AV","per mil","-26.9","0"
"PARTNERS","Kolyma","2005-07-19","","DOC-14C","AV","per mil","12.3","0"
"PARTNERS","Kolyma","2005-07-19","","H2O-18O","AV","per mil","-21.7","0"
"PARTNERS","Kolyma","2005-07-19","","H2O-2H","AV","per mil","-167","0"
"PARTNERS","Kolyma","2005-07-19","","K","AV","mg/L","0.54","0"
"PARTNERS","Kolyma","2005-07-19","","Mg","AV","mg/L","2.5","0"
"PARTNERS","Kolyma","2005-07-19","","Na","AV","mg/L","1.8","0"
"PARTNERS","Kolyma","2005-07-19","","NH4","AV","ug/L as N","14","0"
"PARTNERS","Kolyma","2005-07-19","","NO3","AV","ug/L as N","66","0"
"PARTNERS","Kolyma","2005-07-19","","pH","AV","std units","7.7","0"
"PARTNERS","Kolyma","2005-07-19","","PN","AV","ug/L","310","0"
"PARTNERS","Kolyma","2005-07-19","","PN-15N","AV","per mil","4.5","0"
"PARTNERS","Kolyma","2005-07-19","","POC","AV","mg/L","1.46","0"
"PARTNERS","Kolyma","2005-07-19","","POC-13C","AV","per mil","-27.4","0"
"PARTNERS","Kolyma","2005-07-19","","POC-14C","AV","per mil","-423","0"
"PARTNERS","Kolyma","2005-07-19","","POC-fm","AV","NA","0.581","0"
"PARTNERS","Kolyma","2005-07-19","","SiO2","AV","mg/L","5.9","0"
"PARTNERS","Kolyma","2005-07-19","","SO4","AV","mg/L as S","3.9","0"
"PARTNERS","Kolyma","2005-07-19","","TDN","AV","mg/L","0.18","0"
"PARTNERS","Kolyma","2005-07-19","","Temperature","AV","deg C","13.2","0"
"PARTNERS","Kolyma","2005-07-19","","TSS","AV","mg/L","12","0"
"PARTNERS","Kolyma","2005-08-14","","Alkalinity","AV","mg CaCO3/L","26.6","0"
"PARTNERS","Kolyma","2005-08-14","","Ca","AV","mg/L","13.3","0"
