Area, RTSID, location_center_lat, location_center_lon, change_vol_year, change_area_year, dem_avg_slope, dem_aspect, dem_elevation, location,
Peel,105,68.0774742,-135.8590274,9170.425999,1743.314731,9.231983185,89.22747756,602.7754517, hillslope, 
Peel,106,68.07920509,-135.8378918,3669.143396,1570.654166,10.71131134,19.98146033,574.835022, hillslope, 
Peel,107,68.07968,-135.780797,2521.784738,451.1453456,9.363330841,322.3254995,496.6557312, hillslope, 
Peel,108,68.08806783,-135.7753352,2212.702665,740.7695181,10.19164944,332.3524603,483.5978088, hillslope, 
Peel,109,68.05338795,-135.7569079,5573.024388,1787.872296,8.17850399,24.38903357,520.7614136, hillslope, 
Peel,110,68.09774122,-135.6789154,109716.5237,5909.911199,11.02812767,88.63236483,328.3690796, hillslope, 
Peel,111,68.09489176,-135.6801293,4367.335556,761.6558767,11.21154976,7.691022682,352.2426453, hillslope, 
Peel,112,68.09845806,-135.6726572,7492.587062,1167.315375,13.91975975,95.43138712,286.9822388, hillslope, 
Peel,113,68.09686672,-135.6723288,4051.749316,696.2119531,16.04857636,356.5402596,305.1191406, hillslope, 
Peel,114,68.09820258,-135.6685702,8132.353452,1326.0517,13.71005058,336.6670889,283.8430786, hillslope, 
Peel,115,68.09962845,-135.6865168,10969.70623,1942.431349,13.15287781,78.48820013,355.8515015, hillslope, 
Peel,116,68.09739972,-135.6640095,5341.032293,1255.502222,16.22273064,12.98332913,306.9721375, hillslope, 
Peel,117,68.09719649,-135.6612671,4830.088273,1315.37645,13.56223297,1.257469501,306.5797424, hillslope, 
Peel,118,68.08105416,-135.6559156,56851.78413,11077.19632,12.04262161,118.1049886,317.0727539, hillslope, 
Peel,119,68.08502719,-135.6478974,13420.26464,3652.327906,15.1905241,120.7148887,299.6520386, hillslope, 
Peel,120,68.0761513,-135.6746756,22192.61396,4552.297891,15.7046833,120.6118576,356.5868835, hillslope, 
Peel,121,68.03160911,-135.7144793,8512.480207,2595.478161,9.25527668,136.0865771,494.3528137, hillslope, 
Peel,122,68.02327215,-135.7222216,22931.68296,3380.805244,13.01480007,8.959249646,524.9730835, hillslope, 
Peel,123,68.01898129,-135.6850928,28081.70369,2873.962942,17.26442337,344.988598,484.1754761, hillslope, 
Peel,124,68.01589438,-135.705945,9016.678059,1654.199601,12.38653564,92.26203848,496.7251587, hillslope, 
Peel,125,68.01588391,-135.7377716,2859.963575,935.708865,13.00055218,46.92118954,599.3797607, hillslope, 
Peel,126,68.05666928,-135.7332176,3332.821691,634.9453012,10.68992805,50.90098078,450.4405518, hillslope, 
Peel,127,68.05573003,-135.7227591,4494.835475,1169.636081,8.255913734,339.9289161,454.0528259, hillslope, 
Peel,128,68.04423365,-135.6141546,24264.119,3194.220441,15.7937088,34.51898286,405.8377991, hillslope, 
Peel,130,68.04045377,-135.6278851,11620.88053,2552.31302,10.68751526,21.82524629,414.6137085, hillslope, 
Peel,131,68.03471572,-135.6327828,5970.294158,1185.881027,14.36099243,318.7003092,435.5448608, hillslope, 
Peel,132,68.03349984,-135.6373064,2702.944876,519.8382583,18.23674774,31.28676549,433.7158203, hillslope, 
Peel,133,68.03427809,-135.6498741,20901.72778,2601.047857,9.033121109,64.41292794,444.5243835, hillslope, 
Peel,134,68.04483333,-135.6703893,11998.28666,1604.07234,11.13706112,148.8948269,438.7249756, hillslope, 
Peel,135,68.04585414,-135.6662979,8320.984186,941.2785606,16.33463097,39.82668972,428.459137, hillslope, 
Peel,136,68.04582464,-135.6833591,22464.2844,2612.187248,12.17582321,160.6798059,479.9336548, hillslope, 
Peel,137,68.0548472,-135.6712909,977.0965919,178.23026,13.25710297,89.52521192,409.8858643, hillslope, 
Peel,138,68.05673525,-135.666234,8720.925148,1164.066386,11.07708073,76.52405917,374.3295593, hillslope, 
Peel,140,68.0603571,-135.6652267,244863.669,14202.72384,15.85819626,118.466465,357.021759, hillslope, 
Peel,141,68.0618175,-135.6939567,9818.307312,2517.502422,7.848077297,123.7299808,400.3008118, hillslope, 
Peel,142,68.06202698,-135.6876962,8685.011421,1431.411776,12.6017189,144.2637799,377.4587097, hillslope, 
Peel,143,68.06027493,-135.7034125,3349.911859,668.363475,10.63696289,184.7672591,405.5252686, hillslope, 
Peel,144,68.06080345,-135.6993877,2348.494081,668.363475,11.04210186,159.8609547,407.6201782, hillslope, 
Peel,145,68.05137472,-135.7355497,2430.826074,551.3998669,11.6030798,331.0938353,460.2385559, hillslope, 
Peel,146,68.05604979,-135.7382261,3791.610241,991.4058212,9.925899506,354.2012666,464.3626099, hillslope, 
Peel,147,68.01607209,-135.6897523,2772.337414,740.7695181,14.37883663,284.5084994,476.5750122, hillslope, 
Peel,148,68.06531338,-135.5696944,15436.96905,1878.37985,14.43954754,151.3919568,424.6987305, hillslope, 
Peel,149,68.09823214,-135.5361561,5884.965757,1481.539036,7.075244904,186.9347375,441.430603, hillslope, 
Peel,150,68.03269102,-135.5770388,16919.16693,2366.192358,15.18635845,112.7020145,388.3125305, hillslope, 
Peel,151,68.0093636,-135.580372,129069.6314,16133.08752,13.29056263,78.20575703,428.6911011, hillslope, 
Peel,152,68.07584651,-135.5367349,1566.985286,540.2604756,10.80246353,12.88614265,356.6248474, hillslope, 
Peel,153,68.07849456,-135.5391574,2055.337602,654.9033772,9.861032486,213.7777069,365.6755981, hillslope, 
Peel,154,68.03747965,-135.5949884,3511.351615,821.5301047,17.31620979,15.17598818,410.8500977, hillslope, 
Peel,155,68.01749923,-135.5744168,2984.150099,761.1917354,10.7172718,135.8556644,396.2704773, hillslope, 
Peel,156,68.01545156,-135.5750126,2544.472534,756.5503224,11.68116379,52.73789576,398.534729, hillslope, 
Peel,157,68.08039457,-135.5565859,553.6470031,222.787825,7.697667122,199.4833129,392.5153809, hillslope, 
Peel,158,68.07984497,-135.543981,2148.662752,710.1361922,11.26021957,104.8447087,367.906311, hillslope, 
Peel,159,67.95020088,-135.7735359,3795.976013,1164.066386,10.70237923,186.793542,584.6279907, hillslope, 
Peel,160,67.9516043,-135.7715671,7954.05533,1954.963164,9.671541214,198.2284694,613.2805176, hillslope, 
Peel,161,67.92829726,-135.6272514,5952.199503,1353.436037,11.68586349,135.7901755,708.3355103, hillslope, 
Peel,162,67.922645,-135.620985,5212.796233,1347.866341,11.38121986,45.36390205,763.019104, hillslope, 
Peel,163,67.93096359,-135.6177077,2498.506511,707.3513444,9.185127258,119.898831,674.8722534, hillslope, 
Peel,164,67.93216936,-135.6116008,1750.414529,501.2726062,13.11643505,110.8654912,636.4794922, hillslope, 
Peel,165,67.91628113,-135.5813641,35579.50155,4333.223196,14.43104458,121.7788307,657.3870239, hillslope, 
Peel,166,67.9207222,-135.6835062,2538.124982,796.4664744,9.392442703,191.7499457,702.3990479, hillslope, 
Peel,167,67.91548064,-135.6848809,8302.487656,1682.048079,9.608095169,231.2349065,655.6280518, hillslope, 
Peel,168,67.96857874,-135.511257,4497.371312,1116.723973,8.479739189,3.838455574,601.8687744, hillslope, 
Peel,169,67.97855777,-135.5741851,17416.88466,3110.675007,8.888128281,36.16239381,498.9346924, hillslope, 
Peel,170,67.96918057,-135.5902428,11780.90578,1693.18747,14.23432636,325.0566501,504.0741577, hillslope, 
Peel,171,67.98980863,-135.5899348,1824.414924,590.3877362,11.54544258,101.3162237,435.9398499, hillslope, 
Peel,172,67.95175839,-135.7434956,2723.347617,673.9331706,14.62684727,134.9391191,584.6715088, hillslope, 
Peel,173,67.99651035,-135.6933076,5458.798715,841.0240394,14.89085579,338.2566921,570.1273193, hillslope, 
Peel,174,67.98578496,-135.6596944,6590.45725,1643.060209,8.439934731,145.3087128,638.8051758, hillslope, 
Peel,175,67.96620216,-135.6820906,8625.80621,1359.005732,14.81006145,182.0625195,513.6143799, hillslope, 
Peel,176,67.94582718,-135.4517971,1866.419429,677.646301,10.22147942,145.1676953,673.029541, hillslope, 
Peel,177,67.84623691,-135.8596622,8010.988505,1559.514775,10.41424561,319.7693709,504.5343323, hillslope, 
Peel,178,66.76047986,-135.8114558,9175.966742,1861.206621,10.5746336,1.175515537,559.9627686, hillslope, 
Peel,179,66.77297754,-135.8106063,3936.871227,1123.221951,8.281763077,91.13290851,584.0369873, hillslope, 
Peel,180,66.72577251,-135.7789022,15056.83506,6289.114643,7.271998882,51.48896014,610.1077881, hillslope, 
Peel,181,66.72785999,-135.7744945,8737.000233,3286.120419,6.606603622,159.7303693,602.3777466, hillslope, 
Peel,182,66.71108021,-135.7655046,7497.491112,1011.828039,11.51550388,144.9948288,558.4950562, hillslope, 
Peel,183,66.72779886,-135.7129869,2958.451787,812.2472786,5.494486809,350.8553823,532.3495483, hillslope, 
Peel,184,66.72300217,-135.6883338,6793.835448,1336.72695,12.40289783,11.52238444,508.1669922, hillslope, 
Peel,185,66.96012112,-135.9961978,14251.62101,2770.923573,9.640388489,284.107248,556.4300537, hillslope, 
Peel,186,66.99019898,-135.8648625,5903.455828,1183.56032,12.9516983,45.04470857,453.0217285, hillslope, 
Peel,187,66.97601762,-135.8044379,11557.23556,1773.019774,11.38413906,348.7488687,475.0644531, hillslope, 
Peel,188,66.97652817,-135.589685,86640.36116,7251.743704,11.32186317,153.3629282,374.0909729, hillslope, 
Peel,189,66.97379833,-135.5208718,4079.968959,1158.49669,9.089413643,277.1927264,343.1220093, hillslope, 
Peel,190,66.96873721,-135.5031785,3489.815617,874.4422131,8.164233208,343.279597,376.8901062, hillslope, 
Peel,191,66.94052007,-135.5376138,69540.95722,7457.822442,10.04287243,180.6775488,373.9755249, hillslope, 
Peel,192,66.99486493,-135.3927373,17972.40715,3391.944636,15.49564552,345.0878588,282.229126, hillslope, 
Peel,193,66.96032643,-135.2918155,87244.25296,1086.090647,29.6040554,293.3952722,309.3160706, hillslope, 
Peel,194,66.9327127,-135.281431,76556.59448,9685.700692,14.81604862,214.4514574,342.8503113, hillslope, 
Peel,195,66.92932766,-135.3367673,7930.622937,1353.436037,16.84467506,156.9650046,372.9596252, hillslope, 
Peel,196,66.92072634,-135.3616196,42527.26103,5937.295536,14.00545502,2.341061665,349.749115, hillslope, 
Peel,198,66.92582841,-135.2553503,122511.0505,2506.363031,26.08960533,242.9988532,335.8307495, hillslope, 
Peel,199,66.92250997,-135.2334162,5775.957425,796.4664744,23.49123764,208.7908444,258.8117981, hillslope, 
Peel,200,66.9176744,-135.211596,4894.910717,2729.150856,22.92839432,135.6791857,200.8169708, hillslope, 
Peel,201,66.97676999,-135.1452136,3551.605787,891.1513,12.39459133,102.2774639,355.1039429, hillslope, 
Peel,202,66.98159232,-135.139309,2311.226855,445.57565,27.07652855,89.13629693,293.1974487, hillslope, 
Peel,203,66.97938651,-135.1339963,2205.666182,467.8544325,25.38892555,112.8435771,235.6471863, hillslope, 
Peel,204,66.99108055,-135.1378998,45625.30801,10276.08843,6.140697956,112.3302132,395.1357727, hillslope, 
Peel,205,66.99522894,-135.1254833,6669.664788,2300.284293,21.84283638,146.0640366,310.9612122, hillslope, 
Peel,206,67.85761197,-135.7115459,12270.53137,2662.314509,10.58973789,130.9654611,604.1804199, hillslope, 
