system:index,B11,B12,B2,B3,B4,B8,B8A,latitude,longitude,ndvi,ndwi,slump,.geo
00000000000000003628,2628,1486,1225,1032,1030,2077,2432,76.00471750902909,102.35972594790086,0.336981,0.33612093,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000036af,2541,1416,1169,972,986,1969,2387,76.00471750902909,102.35972594790086,0.3326565,0.33900034,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003721,2578,1468,1126,928,965,1993,2327,76.00471750902909,102.35972594790086,0.34753212,0.36460117,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b31,559,324,1348,995,774,778,837,75.6227330763867,103.82106254513614,0.0025773195,-0.122391425,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b34,2853,2046,1580,1420,1417,2195,2505,75.6227330763867,103.82106254513614,0.21539314,0.21438451,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b39,2854,2047,1580,1419,1416,2195,2506,75.6227330763867,103.82106254513614,0.21572971,0.21472053,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b59,2826,2025,1521,1367,1404,2129,2435,75.6227330763867,103.82106254513614,0.20520803,0.21796338,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b5d,2637,1952,1730,1486,1484,2133,2402,75.6227330763867,103.82106254513614,0.17943047,0.17877866,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b62,2931,2073,1560,1412,1454,2136,2426,75.6227330763867,103.82106254513614,0.18997215,0.20405862,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b6c,2781,2015,1506,1357,1398,2036,2338,75.6227330763867,103.82106254513614,0.18578917,0.20011789,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b75,2896,2084,1575,1384,1425,2119,2494,75.6227330763867,103.82106254513614,0.19582392,0.20982015,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b84,2879,2078,1591,1391,1437,2083,2375,75.6227330763867,103.82106254513614,0.18352273,0.19919401,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b96,2957,2099,1509,1362,1444,2060,2413,75.6227330763867,103.82106254513614,0.17579909,0.20397428,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004b9e,2833,1993,1632,1410,1434,1980,2325,75.6227330763867,103.82106254513614,0.15992971,0.16814159,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004ba2,2833,1993,1632,1411,1434,1980,2326,75.6227330763867,103.82106254513614,0.15992971,0.1677971,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e0f,2771,1371,1185,1111,1071,2831,3410,74.36064695062359,102.60791059433355,0.45105073,0.43632674,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e16,1756,722,1089,932,833,2082,2379,74.36064695062359,102.60791059433355,0.4284734,0.38155276,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e1e,3580,2484,1777,1676,1685,3544,4051,74.36064695062359,102.60791059433355,0.3555173,0.3578544,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e35,2732,1367,1209,1088,1100,2686,3183,74.36064695062359,102.60791059433355,0.41891178,0.4234234,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e45,2800,1413,1154,1045,1111,2598,2962,74.36064695062359,102.60791059433355,0.4009167,0.426297,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e4d,2914,1478,1189,1053,1121,2585,3115,74.36064695062359,102.60791059433355,0.3950351,0.4211105,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004e55,2809,1405,1123,1010,1104,2493,2919,74.36064695062359,102.60791059433355,0.38615513,0.4233514,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011dd,2304,1279,1308,1105,1047,2242,2663,75.62432943456383,100.23500442784338,0.36333233,0.3397072,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011e5,2146,1166,1236,1032,991,2017,2430,75.62432943456383,100.23500442784338,0.3410904,0.32305673,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011ed,2290,1235,1220,1025,984,2124,2480,75.62432943456383,100.23500442784338,0.36679536,0.34899968,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000011f0,2290,1235,1220,1025,984,2124,2480,75.62432943456383,100.23500442784338,0.36679536,0.34899968,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001201,2210,1233,1205,1019,979,2114,2505,75.62432943456383,100.23500442784338,0.36695763,0.34950528,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001204,2118,1168,1135,951,933,2079,2412,75.62432943456383,100.23500442784338,0.38047808,0.37227723,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001214,1995,1129,1149,964,928,2034,2407,75.62432943456383,100.23500442784338,0.37339637,0.3569046,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000121c,1983,1137,1172,960,941,1981,2353,75.62432943456383,100.23500442784338,0.3559206,0.34716082,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001223,2240,1295,1347,1121,1107,2184,2585,75.62432943456383,100.23500442784338,0.32725614,0.32163388,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001230,2194,1233,1175,998,999,1998,2356,75.62432943456383,100.23500442784338,0.33333334,0.33377838,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000123c,2453,1395,1325,1132,1176,2255,2639,75.62432943456383,100.23500442784338,0.31448558,0.33156186,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001244,2065,1173,1248,1031,1028,1991,2420,75.62432943456383,100.23500442784338,0.3189798,0.3176704,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002e35,557,364,1264,1030,910,994,1031,74.34435339537428,100.25582397066191,0.04411765,-0.01778656,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002e3c,543,386,1122,903,821,857,943,74.34435339537428,100.25582397066191,0.021454113,-0.026136363,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000046a8,35,12,960,689,399,192,180,74.57358240322877,101.73376626022024,-0.35025382,-0.5641317,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000482b,2012,1314,1323,1103,1086,1616,1909,76.80051543763335,105.11278831560152,0.196151,0.1886723,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000483f,1933,1346,1247,1047,1026,1643,1905,76.80051543763335,105.11278831560152,0.23117273,0.22156134,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000004843,2032,1384,1332,1109,1092,1685,1897,76.80051543763335,105.11278831560152,0.2135398,0.20615605,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003a7f,2650,1354,1105,972,909,2351,2771,75.00002853247508,101.71510492231155,0.44233128,0.41498646,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
